PRMX,11/26/2019,2.03,2.04,2.01,2.02,115000,0
RLC,11/26/2019,25.9,27.1,25.9,27.1,6638600,58917150
RLT,11/26/2019,0.35,0.355,0.35,0.35,70000,0
ROCK,11/26/2019,2.18,2.18,2.14,2.15,2026000,0
SHNG,11/26/2019,0,0,0,0,0,0
SLI,11/26/2019,2.39,2.45,2.39,2.42,106000,0
SMPH,11/26/2019,39.2,39.8,38.85,38.9,30312700,-207315750
STR,11/26/2019,5,5.5,5,5.44,4000,0
SUN,11/26/2019,1.53,1.57,1.45,1.45,14311000,0
TFC,11/26/2019,0,0,0,0,0,0
VLL,11/26/2019,7.51,7.61,7.51,7.59,3940900,-10853109
ABS,11/26/2019,17.6,17.6,17.44,17.44,32200,0
GMA7,11/26/2019,5.3,5.3,5.2,5.24,132600,0
MB,11/26/2019,0.42,0.435,0.41,0.425,3920000,0
MBC,11/26/2019,0,0,0,0,0,0
GLO,11/26/2019,1945,1950,1900,1950,100935,55169245
PTT,11/26/2019,0,0,0,0,0,0
TEL,11/26/2019,1094,1108,1094,1108,285125,-8638285
APL,11/26/2019,0,0,0,0,0,0
DFNN,11/26/2019,5.7,5.7,5.7,5.7,100,0
IMP,11/26/2019,0,0,0,0,0,0
IS,11/26/2019,0.103,0.109,0.103,0.103,510000,0
ISM,11/26/2019,4.19,4.24,4.16,4.18,1376000,-4230
JAS,11/26/2019,2.29,2.31,2.29,2.31,15000,0
NOW,11/26/2019,2.89,2.94,2.8,2.89,1028000,153670
TBGI,11/26/2019,0.305,0.31,0.305,0.305,1060000,0
WEB,11/26/2019,2.72,2.75,2.7,2.75,205000,-29790
2GO,11/26/2019,9.89,10,9.82,10,4500,0
ATI,11/26/2019,18,18,18,18,120100,2161800
C,11/26/2019,5.83,5.93,5.79,5.8,862300,-40617
CEB,11/26/2019,91.5,92.8,91,92.8,97560,-1523582
ICT,11/26/2019,121.5,123,120.4,123,3834300,731696
LBC,11/26/2019,14,14,13.96,13.98,5700,0
LSC,11/26/2019,0.9,0.9,0.9,0.9,20000,0
MAC,11/26/2019,18.24,18.26,17.94,18,591400,-7217886.0003
MAH,11/26/2019,0.99,1.1,0.99,1.05,14000,0
MAHB,11/26/2019,0,0,0,0,0,0
PAL,11/26/2019,7.95,7.95,7.95,7.95,2600,0
PORT,11/26/2019,0,0,0,0,0,0
TUGS,11/26/2019,1.23,1.24,1.19,1.19,890000,-30250
ACE,11/26/2019,1.65,1.66,1.63,1.66,40000,0
BHI,11/26/2019,0,0,0,0,0,0
DWC,11/26/2019,0,0,0,0,0,0
GPH,11/26/2019,9.9,10.54,9.9,10.54,400,0
WPI,11/26/2019,0.62,0.63,0.61,0.61,609000,0
CEU,11/26/2019,7.08,7.08,7.08,7.08,2700,0
FEU,11/26/2019,890.5,890.5,890.5,890.5,470,0
IPO,11/26/2019,0,0,0,0,0,0
STI,11/26/2019,0.66,0.68,0.66,0.68,578000,9240
BCOR,11/26/2019,2.83,2.86,2.79,2.8,790000,0
BLOOM,11/26/2019,11.46,11.48,11.12,11.2,5244300,26406494
EG,11/26/2019,0,0,0,0,0,0
LOTO,11/26/2019,2.6,2.6,2.55,2.58,40000,0
LR,11/26/2019,2.77,2.8,2.75,2.8,858000,0
MJC,11/26/2019,0,0,0,0,0,0
PHR,11/26/2019,4.6,4.6,4.6,4.6,8000,0
PLC,11/26/2019,0.64,0.64,0.62,0.63,990000,-447930
PRC,11/26/2019,0,0,0,0,0,0
HOME,11/26/2019,11.56,11.56,11.46,11.5,2820100,-5033442
MRSGI,11/26/2019,2.3,2.34,2.28,2.3,544000,337570
PGOLD,11/26/2019,40,40.4,40,40,1321200,16640630
RRHI,11/26/2019,75,76,74.55,75,493340,-15503416
SEVN,11/26/2019,0,0,0,0,0,0
SSI,11/26/2019,2.7,2.73,2.62,2.67,1064000,568180
WLCON,11/26/2019,18.2,18.2,17.98,18.2,1763600,14973386
APC,11/26/2019,0.465,0.47,0.465,0.47,150000,0
ECP,11/26/2019,8.98,9.15,8.72,9.15,22600,0
HVN,11/26/2019,418,450,414,425,30140,0
IPM,11/26/2019,0,0,0,0,0,0
PAX,11/26/2019,0,0,0,0,0,0
PHA,11/26/2019,0.43,0.495,0.43,0.49,64560000,-347050
PHC,11/26/2019,0,0,0,0,0,0
SBS,11/26/2019,9.13,9.15,9.13,9.15,12500,0
AB,11/26/2019,11,11,10.06,10.98,2600,0
APX,11/26/2019,1.09,1.09,1.06,1.07,1500000,-275130
AR,11/26/2019,0.0016,0.0016,0.0016,0.0016,265000000,0
AT,11/26/2019,2.54,2.58,2.54,2.58,30000,0
BC,11/26/2019,0,0,0,0,0,0
BCB,11/26/2019,0,0,0,0,0,0
COAL,11/26/2019,0,0,0,0,0,0
